Company,Specific Bean Origin,REF,Review,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Fruition,Maranon,1359,2014,76%,U.S.A.,3.0,Forastero (Nacional),Peru
Meadowlands,Belize,1287,2014,70%,U.S.A.,3.0,Trinitario,Belize
L.A. Burdick (Felchlin),Bolivian,451,2009,68%,U.S.A.,3.0, ,Bolivia
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70%,U.S.A.,3.25,Amazon,Belize
Sprungli (Felchlin),Alto Beni,1057,2013,70%,Switzerland,3.0,Criollo,Bolivia
Palette de Bine,"San Juan Estate, Gran Couva",1570,2015,70%,Canada,3.25,Trinitario,Trinidad
French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81%,U.S.A.,2.0, ,Peru
Felchlin,Maracaibo Clasificado,48,2006,65%,Switzerland,3.0,Criollo,Venezuela
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend, 
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4.0,Trinitario,Indonesia
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
Republica del Cacao (aka Confecta),"Los Rios, Vinces",439,2009,75%,Ecuador,2.5,Forastero (Arriba),Ecuador
Olivia,Carribean,688,2011,76%,Canada,2.75, ,Carribean
Madre,"Hamakua Coast, Kokoleka",991,2012,70%,U.S.A.,3.25, ,Hawaii
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3.0,Trinitario,Jamaica
Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,75%,U.S.A.,3.25,Nacional (Arriba),Ecuador
Mast Brothers,Papua New Guinea,777,2011,71%,U.S.A.,2.75, ,Papua New Guinea
Izard,"Elvesia P., Batch 32",1546,2015,70%,U.S.A.,2.75, ,Dominican Republic
Pitch Dark,Nicalizo,1510,2015,80%,U.S.A.,2.75,Trinitario,Nicaragua
Amano,Chuao,544,2010,70%,U.S.A.,3.0,Trinitario,Venezuela
Choklat,Brazilian,377,2009,70%,Canada,3.0, ,Brazil
Fruition,La Red,1046,2013,70%,U.S.A.,3.75, ,Dominican Republic
Soma,Papua New Guinea,387,2009,70%,Canada,3.5,Trinitario,Papua New Guinea
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic
Arete,Guatemala,1602,2015,70%,U.S.A.,3.25, ,Guatemala
Zotter,Congo,749,2011,65%,Austria,3.0,Forastero,Congo
Mast Brothers,"Chuao, Dark Roast",709,2011,70%,U.S.A.,3.0,Trinitario,Venezuela
Vanleer (Barry Callebaut),Manhattan,963,2012,72%,U.S.A.,2.5,Forastero,Ghana
Bonnat,One Hundred,81,2006,100%,France,1.5, , 
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4.0, ,Ecuador
Bonnat,Kaori,1339,2014,75%,France,4.0, ,Brazil
La Maison du Chocolat (Valrhona),Tobago,1145,2013,60%,France,3.25, ,Tobago
Mutari,"Ambanja, batch 1 SRB",1900,2016,68%,U.S.A.,2.75, ,Madagascar
Georgia Ramon,Akesson P.,1642,2015,65%,Germany,3.25,Trinitario,Madagascar
Jacque Torres,Trinatario Treasure,5,2006,71%,U.S.A.,2.0,Trinitario,Ghana
Szanto Tibor,Crudo,761,2011,70%,Hungary,3.0, ,Venezuela
Manifesto Cacao,Colombia,1331,2014,70%,Colombia,2.75, ,Colombia
Bonnat,Gabon,1042,2013,75%,France,3.25, ,Gabon
Holy Cacao,Ivory Coast,431,2009,70%,Israel,2.5, ,Ivory Coast
Amano,Guayas,470,2010,70%,U.S.A.,4.0, ,Ecuador
Erithaj (A. Morin),Ben Tre,1205,2014,70%,France,3.25,Trinitario,Vietnam
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75, ,Ecuador
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75, ,Peru
Domori,Sur del Lago Classificado,87,2006,70%,Italy,3.0,Trinitario,Venezuela
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5, ,Costa Rica
organicfair,Caribe,1165,2013,72%,Canada,3.0, ,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25, ,Ecuador
Soma,Carenero Superior,951,2012,70%,Canada,3.75,Trinitario,Venezuela
Palette de Bine,Duo- Gran Couva & Camino Verde,1399,2014,75%,Canada,3.5,Blend,"Trinidad, Ecuador"
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5, ,Peru
Davis,Ghana,1093,2013,70%,U.S.A.,2.5,Forastero,Ghana
Orquidea,Peru,859,2012,72%,Peru,3.0, ,Peru
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4.0,Criollo (Wild),Bolivia
Paul Young,"Madagascar, w/ shell",1271,2014,64%,U.K.,2.75,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Conacado, 2012, 120hr c.",1113,2013,100%,U.K.,2.75, ,Dominican Republic
Zak's,"House Blend, Batch 2",1582,2015,60%,U.S.A.,3.0, , 
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3.0, ,Dominican Republic
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3.25, ,Ecuador
Noble Bean aka Jerjobo,Ghana,1295,2014,75%,U.S.A.,3.0,Forastero,Ghana
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Malmo,Chuao,1856,2016,70%,Sweden,3.0, ,Venezuela
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3.0,Trinitario,Trinidad
Palette de Bine,"Alto Beni, Palos Blancos",1239,2014,72%,Canada,2.75, ,Bolivia
Coppeneur,Ghana Puristique,813,2012,85%,Germany,3.5,Forastero,Ghana
Soma,"Sangre Grande P., Trinidad",1073,2013,70%,Canada,3.75,Trinitario,Trinidad
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela
Goodnow Farms,"Asochivite, batch 1005",1924,2016,77%,U.S.A.,3.25, ,Guatemala
Ethel's Artisan (Mars),Porcelana,666,2011,70%,U.S.A.,2.5,Criollo (Porcelana),Venezuela
Matale,"Somia, 2013",1177,2013,68%,Australia,4.0,Trinitario,Madagascar
Madecasse (Cinagra),Madagascar,284,2008,70%,Madagascar,3.75,Trinitario,Madagascar
Friis Holm (Bonnat),"Chuno, double turned, Xoco",899,2012,70%,Denmark,3.25,"Criollo, Trinitario",Nicaragua
Silvio Bessone,"Porcelana, Colombia, Amazonas",741,2011,68%,Italy,3.0,"Criollo, Trinitario",Colombia
Lake Champlain (Callebaut),Tanzania,327,2009,75%,U.S.A.,2.5, ,Tanzania
Treehouse,Conacado,1239,2014,72%,U.S.A.,3.0, ,Dominican Republic
Rogue,"Camino Verde P., Balao, Guayas",979,2012,75%,U.S.A.,3.75,Nacional (Arriba),Ecuador
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2.5,Forastero,Uganda
Kto,Ocumare,1422,2014,72%,U.S.A.,2.75, ,Venezuela
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar
Chocolate Makers,Tres Hombres,1530,2015,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Maglio,Africa,300,2008,75%,Italy,2.0, ,Tanzania
Sacred,Midnight,813,2012,83%,U.S.A.,2.75, ,Central and S. America
Mars,Ivory Coast,544,2010,65%,U.S.A.,3.0, ,Ivory Coast
Rogue,"Bachelor's Hall E., St. Thomas Parish",1193,2013,75%,U.S.A.,3.75,Trinitario,Jamaica
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25, ,Venezuela
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5, ,Venezuela
Mast Brothers,Madagascar,999,2012,72%,U.S.A.,2.5,Trinitario,
Habitual,Dominican Republic,1197,2014,75%,Canada,3.25, ,Dominican Republic
Marana,Piura,1872,2016,70%,Peru,3.0, ,Peru
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana
De Mendes,"Nativo, Varzea",1462,2015,72%,Brazil,3.5, ,Brazil
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend, 
A. Morin,Cuba,1315,2014,70%,France,3.5, ,Cuba
Franceschi,Ocumare,1355,2014,70%,Venezuela,3.75, ,Venezuela
"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D.",1756,2016,70%,Australia,3.75, ,Belize
Pangea,Matasawalevu,1860,2016,76%,Spain,3.0, ,Fiji
Upchurch,"Madagascar, Sassy Bar",1752,2016,72%,U.S.A.,3.0,Trinitario,Madagascar
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5, ,Nicaragua
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75, ,Dominican Republic
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3.0,Trinitario,Venezuela
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador
Tejas,Capistrano*,829,2012,70%,U.S.A.,3.0, ,Madagascar
Bright,Somia Plantation,1231,2014,72%,Australia,3.0,Trinitario,Madagascar
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3.0,Criollo,Mexico
Guittard,Special Maker Reserve,276,2008,64%,U.S.A.,3.0, , 
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3.0,Trinitario,Madagascar
Urzi,"Sur del Lago, Merida",1327,2014,65%,Italy,3.25,Trinitario,Venezuela
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3.0,Criollo,Peru
Sacred,Twilight,813,2012,69%,U.S.A.,3.25, ,Central and S. America
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5, ,Dominican Republic
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru
Scharffen Berger,Las Islas,117,2007,72%,U.S.A.,3.0,Blend,Carribean(DR/Jam/Tri)
Creo,"""heirloom"", Arriba Nacional",1736,2016,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Zart Pralinen,"San Juan Estate, Gran Couva",1880,2016,78%,Austria,3.5,Trinitario,Trinidad
Duffy's,Panama,516,2010,70%,U.K.,3.5, ,Panama
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4.0,Trinitario,Venezuela
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70%,Canada,3.5,Trinitario,Madagascar
Ara,Madagascar,1375,2014,75%,France,3.0,Trinitario,Madagascar
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar
Madre,Dominican,672,2011,70%,U.S.A.,2.5, ,Dominican Republic
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3.0, ,Malaysia
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,65%,Australia,3.5, ,Papua New Guinea
Baravelli's,single estate,955,2012,80%,Wales,2.75, ,Costa Rica
Szanto Tibor,Ambolikapiky,1704,2015,70%,Hungary,3.25,Trinitario,Madagascar
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4.0,Trinitario,Belize
TCHO,Citrus-beta,280,2008,70%,U.S.A.,2.75, ,Madagascar
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75, ,Guatemala
Machu Picchu Trading Co.,Peru,552,2010,55%,Peru,2.25, ,Peru
Bahen & Co.,Sambirano,995,2012,70%,Australia,3.0,Trinitario,Madagascar
Erithaj (A. Morin),Ba Lai,1209,2014,74%,France,3.25,Trinitario,Vietnam
Matale,"Malekula P., 2013",1177,2013,72%,Australia,3.5,Trinitario,Vanuatu
Haigh,South America and Africa,701,2011,70%,Australia,3.0, ,"South America, Africa"
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela
Wilkie's Organic,Amazonas w/ nibs,1173,2013,75%,Ireland,2.75,Criollo,Peru
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3.25,Trinitario,Dominican Republic
Mita,Tumaco,955,2012,65%,Colombia,2.5, ,Colombia
Mana,Ecuador,1446,2015,74%,U.S.A.,2.5, ,Ecuador
Soul,Tanzania,1940,2017,80%,Canada,3.5, ,Tanzania
Caoni (Tulicorp),Los Rios,245,2008,77%,Ecuador,2.75,Forastero (Arriba),Ecuador
Woodblock,Sambirano,951,2012,70%,U.S.A.,3.25,Trinitario,Madagascar
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
Zotter,Raw,1205,2014,80%,Austria,2.75, , 
StRita Supreme,"Samar, East Visayas region",943,2012,70%,U.S.A.,2.5, ,Philippines
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4.0,Forastero,Sao Tome & Principe
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda
Mars,Nigeria,544,2010,65%,U.S.A.,3.25, ,Nigeria
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5, ,Peru
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela
Vicuna,Palos Blancos,1470,2015,70%,U.S.A.,3.25, ,Bolivia
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,70%,Canada,4.0,Blend,"Dom. Rep., Madagascar"
Franceschi,Canoabo,911,2012,70%,Venezuela,3.75, ,Venezuela
Spencer,"Ecuador, lot E432314L",1792,2016,70%,Australia,3.75, ,Ecuador
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Zotter,El Ceibo Coop,879,2012,90%,Austria,3.25, ,Bolivia
Soma,Ocumare,387,2009,70%,Canada,3.75,Criollo,Venezuela
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.5,Forastero (Nacional),Ecuador
Sibu,Oro,1586,2015,82%,Costa Rica,3.25, ,Costa Rica
Claudio Corallo,Terreiro Velho P.,470,2010,73.5%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,70%,Japan,3.0,"Trinitario, Criollo",Belize
Zart Pralinen,"Kakao Kamili, Kilombero Valley",1824,2016,70%,Austria,3.5,"Criollo, Trinitario",Tanzania
Soul,Madagascar,1936,2017,70%,Canada,3.5, ,Madagascar
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70%,Mexico,2.75,Criollo,Mexico
Chocovic,Kendari,439,2009,60%,Spain,3.25, , 
Michel Cluizel,Noir Infini,81,2006,99%,France,2.0, , 
Rogue,"Silvestre, Batch 1, 2011",793,2011,75%,U.S.A.,3.0,Criollo,Bolivia
Chocovic,Guyave,117,2007,71%,Spain,2.5,Trinitario,Grenada
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75, ,Dominican Republic
twenty-four blackbirds,Oko Caribe,1700,2015,75%,U.S.A.,2.75, ,Domincan Republic
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5, ,Nicaragua
Rain Republic,Suchitepequez E.,470,2010,70%,Guatemala,2.75, ,Guatemala
S.A.I.D.,Samana,615,2010,70%,Italy,3.0, ,Dominican Republic
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70%,U.K.,3.0, ,Dominican Republic
El Rey,"Carenero Superior, Gran Saman",32,2006,70%,Venezuela,2.75,Criollo,Venezuela
Harper Macaw,"Vale do Juliana, w/ nibs",1808,2016,85%,U.S.A.,3.25, ,Brazil
Olive and Sinclair,Dark 75,457,2009,75%,U.S.A.,3.0, ,"Ghana, Domin. Rep"
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3.5, ,Domincan Republic
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70%,Hungary,3.5,Forastero (Parazinho),Brazil
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75, ,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80%,Madagascar,2.75,Trinitario,Madagascar
Vintage Plantations,San Martin,1205,2014,75%,U.S.A.,3.0, ,Peru
Silvio Bessone,"Bahia, Scavina",729,2011,60%,Italy,3.25,Trinitario,Brazil
Svenska Kakaobolaget,Sri Lanka,1618,2015,70%,Sweden,2.75,"Criollo, Trinitario",Sri Lanka
Nahua,"Costa Rica, Oscuro",1049,2013,70%,Costa Rica,3.0, ,Costa Rica
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3.5,Forastero,Ghana
Patric,"Piura, Choc. Garage Exclusive",1034,2013,67%,U.S.A.,4.0, ,Peru
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5, ,Nicaragua
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3.0, ,Papua New Guinea
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
S.A.I.D.,100 percent,615,2010,100%,Italy,1.5, , 
Soma,Eastern Promises,967,2012,70%,Canada,3.5,Blend,"Mad., Java, PNG"
Mast Brothers,"Dominican Republic, Coop",572,2010,70%,U.S.A.,3.25, ,Dominican Republic
Patric,Madagascar,331,2009,75%,U.S.A.,4.0,Trinitario,Madagascar
Pitch Dark,Akesson Estate,1311,2014,73%,U.S.A.,3.25,Trinitario,Madagascar
Rogue,"Silvestre, Batch 7, 2013",1081,2013,75%,U.S.A.,4.0, ,Bolivia
Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family",1223,2014,75%,U.K.,2.75,Trinitario,Venezuela
Zart Pralinen,San Juan Estate,1824,2016,85%,Austria,2.75,Trinitario,Trinidad
Coppeneur,Chuao,478,2010,70%,Germany,3.0,Trinitario,Venezuela
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3.25, ,Bolivia
Guittard,Machu Pichu,259,2008,65%,U.S.A.,3.0, ,Peru
Soma,Porcelana,1594,2015,75%,Canada,4.0, ,Venezuela
organicfair,La Red,1165,2013,72%,Canada,2.75, ,Dominican Republic
Coppeneur,Madagascar,959,2012,70%,Germany,3.5,Trinitario,Madagascar
Nibble,Tumbes,1526,2015,72%,U.S.A.,3.0,Criollo,Peru
Davis,West Africa,907,2012,58%,U.S.A.,3.25,Forastero,West Africa
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome
SRSLY,Dominican Republic,1121,2013,84%,U.S.A.,2.25, ,Dominican Republic
Valrhona,"Porcelana, Pedegral",757,2011,64%,France,4.0,Criollo,Venezuela
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4.0, ,Venezuela
A. Morin,Madagascar,1011,2013,70%,France,3.0,Criollo,Madagascar
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad
Caoni (Tulicorp),Manabi,266,2008,55%,Ecuador,3.0,Forastero (Arriba),Ecuador
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75%,U.S.A.,3.0,Trinitario,Belize
L'Amourette,Rio Caribe,833,2012,75%,U.S.A.,3.0,Trinitario,Venezuela
Valrhona,Nyangbo,395,2009,68%,France,3.5,Forastero,Ghana
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5, ,Belize
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3.0, ,Dominican Republic
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5, ,Ecuador
Sjolinds,Nicaragua,1462,2015,72%,U.S.A.,3.0, ,Nicaragua
Holy Cacao,Mara,1466,2015,70%,Israel,3.5, ,Venezuela
Stone Grindz,"Ecuador, Midnight Dark",1291,2014,84%,U.S.A.,3.5, ,Ecuador
Pralus,Peru,1446,2015,75%,France,3.25, ,Peru
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Scharffen Berger,Markham Valley,781,2011,68%,U.S.A.,3.75, ,Papua New Guinea
Mana,Venezuela,1219,2014,74%,U.S.A.,2.75, ,Venezuela
La Maison du Chocolat (Valrhona),"Acarigua, w/ nibs",1189,2013,56%,France,3.25, ,Ecuador
Pralus,Equateur,40,2006,75%,France,3.0,Trinitario,Ecuador
Durand,Madagascar,841,2012,82%,France,2.75,Trinitario,Madagascar
Palette de Bine,Maya Mtn,1720,2016,72%,Canada,3.0,Trinitario,Belize
Rogue,"Tranquilidad, Batch 1",1566,2015,75%,U.S.A.,3.25, ,Bolivia
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25, ,Dominican Republic
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji
twenty-four blackbirds,Dominican Republic,753,2011,73%,U.S.A.,2.75, ,Dominican Republic
Pacari,Garaua,1415,2014,70%,Ecuador,3.25, ,Ecuador
Dandelion,Colombian,805,2012,70%,U.S.A.,3.25, ,Colombia
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70%,France,4.0,Trinitario,Tobago
Ocho,"PNG, Nib Bar",1411,2014,74%,New Zealand,3.5, ,Papua New Guinea
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Pralus,Jamaique,32,2006,75%,France,4.0,Trinitario,Jamaica
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75, ,Dominican Republic
SRSLY,Dominican Republic,1113,2013,70%,U.S.A.,3.0, ,Dominican Republic
Pacari,Raw,266,2008,100%,Ecuador,2.0,Forastero (Arriba),Ecuador
Pralus,Cuba,99,2006,75%,France,3.0,Trinitario,Cuba
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.0, ,Peru
Amedei,Toscano Black,75,2006,66%,Italy,4.0,Blend, 
Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66%,Switzerland,3.75, ,Bolivia
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru
Bright,Marabel Farms,1231,2014,70%,Australia,3.5, ,Dominican Republic
Laia aka Chat-Noir,"Peru, Batch 51/100",1590,2015,75%,France,3.25, ,Peru
Britarev,Ecuador,1638,2015,70%,Russia,3.25, ,Ecuador
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5, ,Nicaragua
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,72%,Madagascar,3.5, ,Madagascar
Cacao Sampaka,Grenada,537,2010,71%,Spain,3.25,Trinitario,Grenada
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Marou,Tien Giang,895,2012,80%,Vietnam,3.0,Trinitario,Vietnam
Valrhona,Tainori,327,2009,64%,France,3.75, ,Dominican Republic
Palette de Bine,Kokoa Kamili,1574,2015,72%,Canada,3.5, ,Tanzania
Indaphoria,La Red,821,2012,70%,U.S.A.,3.25, ,Dominican Republic
Letterpress,San Andres,1566,2015,70%,U.S.A.,3.0, ,Costa Rica
Szanto Tibor,Santo Domingo,939,2012,70%,Hungary,3.25, ,Dominican Republic
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75%,France,3.0, ,Ivory Coast
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend, 
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Sibu,Oscuro,1586,2015,70%,Costa Rica,3.5, ,Costa Rica
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68%,Madagascar,3.0,Trinitario,Madagascar
Coppeneur,Ocumare 61,558,2010,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5, ,Costa Rica
Daintree,"Daintree Estates, N. Queensland",785,2011,70%,Australia,3.25, ,Australia
Davis,Venezuela,1093,2013,70%,U.S.A.,2.75, ,Venezuela
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5, ,Dominican Republic
Willie's Cacao,Sambirano,593,2010,71%,U.K.,3.0,Trinitario,Madagascar
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90%,U.K.,3.0,Forastero (Nacional),Ecuador
Szanto Tibor,"Ben Tre, Mekong Delta",1708,2015,70%,Hungary,3.25,Trinitario,Vietnam
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70%,Ecuador,3.0,Trinitario,Ecuador
Caoni (Tulicorp),Esmeraldas,237,2008,77%,Ecuador,2.0,Forastero (Arriba),Ecuador
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5, ,Dominican Republic
Kakao,Peru,837,2012,64%,Germany,2.5, ,Peru
Ritual,"Mid Mountain, 2014",1466,2015,70%,U.S.A.,3.5,Blend, 
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep."
Isidro,Dominican Republic,1279,2014,72%,U.S.A.,3.25, ,Dominican Republic
Xocolla,"Sambirano, batch 170102",1948,2017,70%,U.S.A.,2.75, ,Madagascar
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic
